modelo,acuracia,precisao_macro,recall_macro,f1_macro,tempo_inferencia_ms
Random Forest,0.9601328903654485,0.9198235246776515,0.8858387799564271,0.9006175945383332,0.0690958504975753
Decision Tree,0.9534883720930233,0.897661200628535,0.8659694989106753,0.8797145845048885,0.0069266644516685965
KNN,0.8970099667774086,0.8184323858742464,0.7276688453159043,0.7651515715808385,0.01854294352289007
Logistic Regression,0.7906976744186046,0.6439861751152073,0.7057080610021788,0.6672780517165543,0.010254963455246792
